Model,xgb_learning_rate,xgb_max_depth,xgb_n_estimators,xgb_subsample,xgb_colsample,xgb_reg_lambda,rf_max_depth,rf_min_samples_leaf,rf_n_estimators,rf_max_features,ann_hidden_layers,ann_activation,ann_alpha,ann_lr_init,CV R² (mean),Test R²,Test MAE,Test RMSE,Params
RandomForest,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,0.407224104,0.628359042,4.234139852,6.046761631,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 4, ""n_estimators"": 291}"
XGBoost,0.065980331,4,469,0.797962231,0.952685432,1.090907994,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,0.873152271,0.948874371,1.656493306,2.242747569,"{""colsample_bytree"": 0.9526854323784995, ""learning_rate"": 0.06598033066958126, ""max_depth"": 4, ""n_estimators"": 469, ""reg_lambda"": 1.0909079937846313, ""subsample"": 0.7979622306417505}"
XGBoost,0.071666741,4,495,0.924196033,0.871133192,1.266800773,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,0.875397573,0.947921625,1.63981015,2.263548344,"{""colsample_bytree"": 0.8711331923216198, ""learning_rate"": 0.07166674080206589, ""max_depth"": 4, ""n_estimators"": 495, ""reg_lambda"": 1.266800773017227, ""subsample"": 0.9241960330412142}"
XGBoost,0.100977019,3,812,0.954674147,0.891267241,1.457568143,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,0.829893705,0.9446307,1.708993805,2.333971661,"{""colsample_bytree"": 0.8912672414065639, ""learning_rate"": 0.10097701940610612, ""max_depth"": 3, ""n_estimators"": 812, ""reg_lambda"": 1.4575681430836556, ""subsample"": 0.954674147279825}"
XGBoost,0.048878794,4,592,0.733267246,0.916518856,1.065994335,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,0.86781635,0.944298375,1.70254397,2.340965404,"{""colsample_bytree"": 0.916518856349462, ""learning_rate"": 0.04887879357991646, ""max_depth"": 4, ""n_estimators"": 592, ""reg_lambda"": 1.065994334528681, ""subsample"": 0.7332672462435493}"
XGBoost,0.107592788,6,613,0.75454749,0.706175348,0.318508666,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,0.834585138,0.943831451,1.871369768,2.3507566,"{""colsample_bytree"": 0.7061753482887407, ""learning_rate"": 0.10759278817295954, ""max_depth"": 6, ""n_estimators"": 613, ""reg_lambda"": 0.31850866601741423, ""subsample"": 0.7545474901621302}"
XGBoost,0.06401247,4,305,0.709393988,0.926608423,0.851550492,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,0.862528172,0.943091228,1.796336549,2.366195762,"{""colsample_bytree"": 0.9266084230952957, ""learning_rate"": 0.06401246995929957, ""max_depth"": 4, ""n_estimators"": 305, ""reg_lambda"": 0.8515504917299872, ""subsample"": 0.7093939877366675}"
XGBoost,0.035964051,5,720,0.759614704,0.940659094,1.158367154,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,0.85796305,0.942658194,1.68349706,2.375181193,"{""colsample_bytree"": 0.9406590942262119, ""learning_rate"": 0.035964051494381664, ""max_depth"": 5, ""n_estimators"": 720, ""reg_lambda"": 1.1583671539449862, ""subsample"": 0.7596147044602517}"
XGBoost,0.045973903,5,443,0.713935124,0.935552788,0.888621853,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,0.856033767,0.940519382,1.764630332,2.41907202,"{""colsample_bytree"": 0.935552788417904, ""learning_rate"": 0.04597390257266878, ""max_depth"": 5, ""n_estimators"": 443, ""reg_lambda"": 0.8886218532930636, ""subsample"": 0.7139351238159992}"
XGBoost,0.106057145,5,271,0.746805592,0.812362036,0.897987726,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,0.877808429,0.939378786,1.766531077,2.442155856,"{""colsample_bytree"": 0.8123620356542087, ""learning_rate"": 0.1060571445127933, ""max_depth"": 5, ""n_estimators"": 271, ""reg_lambda"": 0.8979877262955549, ""subsample"": 0.7468055921327309}"
XGBoost,0.049943378,3,854,0.76863945,0.972269942,1.133326708,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,0.836049924,0.93630407,1.875386752,2.503323081,"{""colsample_bytree"": 0.9722699421778278, ""learning_rate"": 0.049943378331909996, ""max_depth"": 3, ""n_estimators"": 854, ""reg_lambda"": 1.133326707814573, ""subsample"": 0.7686394496474867}"
XGBoost,0.076940093,3,387,0.742277267,0.86190764,0.814044125,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,0.845687719,0.934988433,1.976225274,2.529043972,"{""colsample_bytree"": 0.8619076397167239, ""learning_rate"": 0.07694009325310786, ""max_depth"": 3, ""n_estimators"": 387, ""reg_lambda"": 0.8140441247373726, ""subsample"": 0.7422772674924287}"
XGBoost,0.096655593,5,405,0.754670826,0.882998997,0.586590911,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,0.871566341,0.93436363,1.769437373,2.541167792,"{""colsample_bytree"": 0.8829989973347863, ""learning_rate"": 0.09665559293889314, ""max_depth"": 5, ""n_estimators"": 405, ""reg_lambda"": 0.5865909113598612, ""subsample"": 0.7546708263364187}"
XGBoost,0.053180116,4,777,0.788690106,0.723093973,0.936531072,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,0.839158767,0.933250348,1.977435836,2.562627989,"{""colsample_bytree"": 0.7230939729486379, ""learning_rate"": 0.05318011623310144, ""max_depth"": 4, ""n_estimators"": 777, ""reg_lambda"": 0.9365310722006899, ""subsample"": 0.7886901057513142}"
XGBoost,0.054339379,4,452,0.787368742,0.755021353,0.647917528,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,0.839036674,0.921863975,2.127789614,2.772596819,"{""colsample_bytree"": 0.7550213529560301, ""learning_rate"": 0.05433937943676302, ""max_depth"": 4, ""n_estimators"": 452, ""reg_lambda"": 0.6479175279631737, ""subsample"": 0.7873687420594125}"
XGBoost,0.041159509,6,899,0.836820995,0.883555868,0.549542765,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,0.842376799,0.920593077,2.02393064,2.795054287,"{""colsample_bytree"": 0.8835558684167137, ""learning_rate"": 0.041159508852163344, ""max_depth"": 6, ""n_estimators"": 899, ""reg_lambda"": 0.5495427649405376, ""subsample"": 0.8368209952651107}"
XGBoost,0.066522766,6,755,0.964984078,0.731648278,0.624764922,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,0.826197131,0.919585713,2.136691196,2.812727585,"{""colsample_bytree"": 0.7316482779490812, ""learning_rate"": 0.06652276563863282, ""max_depth"": 6, ""n_estimators"": 755, ""reg_lambda"": 0.6247649218055493, ""subsample"": 0.9649840776756604}"
XGBoost,0.054369102,3,539,0.904979056,0.942519204,0.361538199,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,0.827092677,0.911474572,2.241734814,2.951175794,"{""colsample_bytree"": 0.9425192044349383, ""learning_rate"": 0.05436910153386965, ""max_depth"": 3, ""n_estimators"": 539, ""reg_lambda"": 0.36153819903901757, ""subsample"": 0.9049790556476374}"
XGBoost,0.095236914,3,591,0.931381104,0.701656635,1.093510752,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,0.826201892,0.911303518,2.190396747,2.954025636,"{""colsample_bytree"": 0.7016566351370807, ""learning_rate"": 0.09523691427638674, ""max_depth"": 3, ""n_estimators"": 591, ""reg_lambda"": 1.0935107520614809, ""subsample"": 0.9313811040057837}"
XGBoost,0.046137536,6,440,0.852571207,0.831800951,0.471533972,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,0.839805923,0.911162714,2.107424522,2.956369434,"{""colsample_bytree"": 0.831800950559731, ""learning_rate"": 0.046137536186831696, ""max_depth"": 6, ""n_estimators"": 440, ""reg_lambda"": 0.47153397161449, ""subsample"": 0.8525712073494107}"
XGBoost,0.035084668,5,773,0.918881854,0.799269407,0.487774983,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,0.83247673,0.907147909,2.295207444,3.022434571,"{""colsample_bytree"": 0.7992694074557947, ""learning_rate"": 0.03508466802288189, ""max_depth"": 5, ""n_estimators"": 773, ""reg_lambda"": 0.48777498304012057, ""subsample"": 0.9188818535014192}"
XGBoost,0.039767036,3,430,0.781639675,0.797303506,1.360242662,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,0.852921563,0.903492535,2.453439967,3.081353456,"{""colsample_bytree"": 0.7973035063015821, ""learning_rate"": 0.03976703637605387, ""max_depth"": 3, ""n_estimators"": 430, ""reg_lambda"": 1.360242662318631, ""subsample"": 0.7816396748153905}"
XGBoost,0.04364193,5,473,0.98968961,0.882263456,1.423328306,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,0.83943132,0.902604998,2.130434565,3.095489959,"{""colsample_bytree"": 0.8822634555704314, ""learning_rate"": 0.04364192989498332, ""max_depth"": 5, ""n_estimators"": 473, ""reg_lambda"": 1.42332830588, ""subsample"": 0.9896896099223678}"
XGBoost,0.034646689,6,572,0.912421773,0.746798356,0.901672518,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,0.836668659,0.899131952,2.447027945,3.150198144,"{""colsample_bytree"": 0.7467983561008608, ""learning_rate"": 0.03464668897345596, ""max_depth"": 6, ""n_estimators"": 572, ""reg_lambda"": 0.9016725176148133, ""subsample"": 0.9124217733388136}"
XGBoost,0.03004163,3,458,0.853224191,0.894307036,0.010428196,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,0.826539235,0.882569651,2.636381474,3.399000591,"{""colsample_bytree"": 0.8943070361624086, ""learning_rate"": 0.030041630159625264, ""max_depth"": 3, ""n_estimators"": 458, ""reg_lambda"": 0.010428195796786055, ""subsample"": 0.8532241907732696}"
XGBoost,0.058677258,3,227,0.886989438,0.722213396,1.294655139,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,0.836280425,0.876718531,2.86643467,3.482651073,"{""colsample_bytree"": 0.722213395520227, ""learning_rate"": 0.05867725828354181, ""max_depth"": 3, ""n_estimators"": 227, ""reg_lambda"": 1.2946551388133902, ""subsample"": 0.8869894380482674}"
